CustomerID,VehicleMake,VehicleModel,VehicleYOM
Cust10000,Audi,A5,2008
Cust10001,Audi,A5,2006
Cust10002,Volkswagen,Jetta,1999
Cust10003,Volkswagen,Jetta,2003
Cust10004,Toyota,CRV,2010
Cust10005,Toyota,CRV,2011
Cust10006,Mercedes,C300,2000
Cust10007,Suburu,C300,2010
Cust10009,Volkswagen,Passat,1995
Cust1001,Saab,92x,2004
Cust10011,Nissan,Ultima,2002
Cust10012,Ford,Fusion,2004
Cust10013,Accura,Fusion,2001
Cust10014,Suburu,Impreza,2011
Cust10016,Saab,92x,2005
Cust10017,Saab,92x,2005
Cust10018,Toyota,93,2000
Cust10019,Saab,93,2000
Cust10021,Volkswagen,Passat,2006
Cust10022,Toyota,Highlander,1997
Cust10023,Toyota,Highlander,1999
Cust10024,Dodge,X5,2001
Cust10025,Dodge,X5,2002
Cust10026,Volkswagen,Passat,2001
Cust10027,Saab,Passat,1995
Cust10028,Honda,Accord,2015
Cust10029,Toyota,Corolla,2015
Cust10030,Ford,Forrestor,2006
Cust10031,Suburu,F150,2005
Cust10032,Nissan,Pathfinder,2012
Cust10034,Saab,92x,2006
Cust10035,Saab,Jetta,2007
Cust10037,Dodge,Neon,2012
Cust1004,Chevrolet,Tahoe,2014
Cust10040,Audi,Wrangler,2007
Cust10041,Jeep,A3,2008
Cust10042,Accura,A5,1997
Cust10043,Accura,RSX,2010
Cust10044,Chevrolet,Malibu,1998
Cust10046,Audi,A5,2011
Cust10047,Audi,A5,2009
Cust10049,Ford,F150,2008
Cust1005,Accura,RSX,2009
Cust10051,Dodge,E400,2014
Cust10052,Honda,Legacy,2002
Cust10053,Suburu,Legacy,2000
Cust10054,Audi,Ultima,2006
Cust10057,Suburu,Legacy,2005
Cust10058,BMW,92x,2005
Cust10059,BMW,X5,2006
Cust1006,Saab,95,2003
Cust10061,Mercedes,Highlander,2007
Cust10063,Saab,95,2007
Cust10064,Volkswagen,Passat,2009
Cust10065,Volkswagen,Passat,2011
Cust10067,Accura,Grand Cherokee,2010
Cust10068,Ford,Fusion,2011
Cust1007,Nissan,Pathfinder,2012
Cust10072,Saab,95,2002
Cust10073,Saab,95,2015
Cust10076,Saab,93,2009
Cust10078,Ford,E400,2006
Cust10079,Ford,E400,2005
Cust10080,Audi,A5,2002
Cust10081,Audi,A5,2004
Cust10082,Honda,Escape,2003
Cust10083,Honda,Civic,2001
Cust10084,Audi,Corolla,2003
Cust10085,Toyota,Corolla,2004
Cust10086,Jeep,Wrangler,2006
Cust10087,Suburu,Forrestor,2002
Cust10088,Chevrolet,Silverado,2004
Cust10089,Dodge,RAM,2009
Cust1009,Toyota,Camry,2012
Cust10090,Ford,X5,2000
Cust10091,BMW,X5,1999
