,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
40,11.21697473526001,1.0102504599834459,0.035063743591308594,0.004161119568978367,1,0.5,0.1,500,10,3,0,1,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 3, 'gamma': 0, 'colsample_bytree': 1}",0.7679870654810024,0.8504446240905417,0.7590945836701698,0.7914308811641068,0.7849636216653193,0.790784155214228,0.031992513676610455,1
6,2.208466815948486,0.06579606011877073,0.02020411491394043,0.0003994466155016574,1,0.1,0.1,200,5,0.1,0.1,0.5,"{'subsample': 1, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.7946645109135004,0.7639450282942603,0.7962813257881972,0.7841552142279709,0.7752627324171383,0.7828617623282135,0.01213796241172092,2
2,4.144984579086303,0.08346561845038139,0.022105312347412108,0.0006665201346723798,0.8,0.5,0.1,500,3,0.5,1,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 1, 'colsample_bytree': 0.6}",0.7857720291026677,0.7655618431689571,0.7898140662894099,0.7728375101050929,0.7849636216653193,0.7797898140662893,0.009097367758535299,3
0,3.886766242980957,0.6125894162403779,0.021283769607543947,0.002259722934223662,0.8,0.1,0,100,10,3,1,1,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 3, 'gamma': 1, 'colsample_bytree': 1}",0.7873888439773646,0.8084074373484236,0.7073565076798707,0.8003233629749393,0.793856103476152,0.77946645109135,0.03672127939616073,4
54,3.7345674991607667,0.0877693221479084,0.02240328788757324,0.0013572057927731269,0.8,0.5,0.5,500,3,0.5,0.5,0.5,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.5}",0.7833468067906225,0.7574777687954729,0.7922392886014551,0.7793047696038804,0.7833468067906225,0.7791430881164108,0.01162983379683392,5
25,1.8414133071899415,0.006766933509053256,0.017803049087524413,0.0007524364286655092,0.5,0.1,0,50,10,0.1,1,0.7,"{'subsample': 0.5, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.7}",0.7857720291026677,0.7599029911075182,0.7914308811641068,0.7647534357316087,0.7663702506063056,0.7736459175424415,0.012523794167202645,6
47,1.6860827922821044,0.025985632020919563,0.015200519561767578,0.0004015836825754745,0.8,0.1,1,200,3,0.5,0.5,0.6,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.7841552142279709,0.7623282134195635,0.778496362166532,0.7599029911075182,0.7752627324171383,0.7720291026677446,0.009385885383152761,7
59,1.4701154708862305,0.025446446796083853,0.01543893814086914,0.0008144948948317994,1,0.5,0,100,5,0.5,0,0.7,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.5, 'gamma': 0, 'colsample_bytree': 0.7}",0.7841552142279709,0.7590945836701698,0.767178658043654,0.7558609539207761,0.7825383993532741,0.769765561843169,0.011697071785083836,8
26,5.524934864044189,0.024833837315646392,0.03943710327148438,0.001300900947752401,0.5,1,0.5,200,10,0.1,1,0.5,"{'subsample': 0.5, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.5}",0.7655618431689571,0.7502021018593371,0.7857720291026677,0.7655618431689571,0.7760711398544866,0.7686337914308812,0.011896505829682873,9
73,1.5204204082489015,0.014254888016389657,0.015003252029418945,6.975526255763909e-07,0.8,1,1,200,3,1,0.1,0.5,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 1, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.7704122877930477,0.7437348423605498,0.7736459175424414,0.7582861762328214,0.778496362166532,0.7649151172190785,0.01251753070386153,10
56,0.6549536705017089,0.009585600874060282,0.012999486923217774,5.393532055731857e-06,1,0.1,0,50,5,0.5,0.5,0.6,"{'subsample': 1, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.7760711398544866,0.7445432497978981,0.7752627324171383,0.7542441390460792,0.7728375101050929,0.7645917542441389,0.012826957781923179,11
39,0.6596643924713135,0.0035783421603346336,0.013198614120483398,0.00040227868830421283,0.8,1,1,50,5,0.5,1,0.5,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.5, 'gamma': 1, 'colsample_bytree': 0.5}",0.7736459175424414,0.746160064672595,0.7760711398544866,0.7574777687954729,0.7623282134195635,0.7631366208569118,0.01094190739899021,12
64,6.208671569824219,0.042612985821820173,0.03988628387451172,0.0012302771680929,0.8,0.5,0.1,200,10,0.1,0.5,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.7728375101050929,0.7550525464834277,0.7760711398544866,0.7558609539207761,0.7534357316087308,0.7626515763945028,0.009722422880111796,13
