country,score_2020,score_2021,score_2022,economy_2020,economy_2021,economy_2022
CH,7.4405999916076695,7.416999991607675,7.393399991607673,1.4732589106445317,1.473623910644532,1.4739889106445319
IS,7.469000037384035,7.455000037384032,7.441000037384033,1.4080326040802014,1.4152026040802,1.4223726040802003
DK,7.598499967193607,7.615999967193606,7.633499967193604,1.4040066025543214,1.4064326025543212,1.408858602554322
NO,7.589000035858156,7.605000035858154,7.621000035858152,1.5003486368713386,1.4940046368713382,1.4876606368713379
CA,7.238399996948246,7.200999996948241,7.163599996948236,1.378309883255004,1.375036883255004,1.3717638832550039
FI,7.821299972534149,7.91579997253416,8.01029997253417,1.3565163850326538,1.356368385032654,1.356220385032654
NL,7.5011999710082975,7.533399971008301,7.565599971008304,1.4198449270782474,1.4227889270782477,1.425732927078247
SE,7.3134999839782715,7.311599983978272,7.3096999839782715,1.4081124538040162,1.4094894538040164,1.410866453804016
NZ,7.322600025939943,7.325800025939944,7.329000025939943,1.3214032096023558,1.322701209602356,1.3239992096023558
AU,7.23029998397827,7.21499998397827,7.19969998397827,1.3866079870224004,1.3838489870224002,1.3810899870224
IL,6.922899964141834,6.849799964141852,6.776699964141841,1.3211824846801754,1.3270024846801753,1.3328224846801753
CR,7.086299999237056,7.072999999237059,7.059699999237058,1.0649502565231295,1.074715256523131,1.084480256523129
AT,7.175600008392337,7.186800008392336,7.198000008392334,1.3887894526672353,1.3856054526672352,1.3824214526672352
MX,6.283000013732931,6.135600013732926,5.988200013732921,1.0859127635726922,1.0880967635726928,1.0902807635726925
US,6.797200006103509,6.7300000061035234,6.6628000061035095,1.4460518568038951,1.4427538568038951,1.439455856803895
BR,6.0881000457763434,5.898200045776321,5.708300045776355,1.0164206420898427,1.010818642089843,1.0052166420898434
LU,7.034099983215334,7.066799983215326,7.099499983215331,1.6282727195587166,1.6251387195587164,1.6220047195587162
IE,7.03400004730225,7.057200047302253,7.080400047302248,1.5476163278579733,1.576683327857971,1.605750327857976
BE,6.91239995880127,6.90939995880127,6.90639995880127,1.373889152153016,1.3733861521530162,1.3728831521530163
AE,6.758899952697753,6.763799952697754,6.768699952697753,1.8474086738967799,1.9148026738967872,1.9821966738967944
GB,7.1617000450134185,7.245600045013418,7.329500045013418,1.3298957879486082,1.3273387879486078,1.3247817879486083
VE,3.8862000000001444,3.337800000000243,2.7894000000001142,0.9606232401962274,0.93000824019623,0.8993932401962326
SG,6.1024000053405985,5.955600005340557,5.808800005340572,1.5872565339813236,1.5856295339813236,1.5840025339813235
PA,6.17770002822877,6.057600028228762,5.937500028228783,1.178231687194824,1.1882196871948238,1.1982076871948237
DE,7.061300042724611,7.105400042724611,7.149500042724611,1.3900296767425542,1.3882586767425544,1.3864876767425542
CL,6.385099990081812,6.316999990081797,6.24889999008181,1.178726921958924,1.1805269219589238,1.182326921958924
QA,6.279300000000006,6.231800000000007,6.1843000000000075,1.6872581372070314,1.668447137207032,1.6496361372070325
FR,6.528699982452391,6.533199982452391,6.537699982452391,1.3412846923828123,1.3403406923828123,1.3393966923828122
AR,6.087999995422393,5.964199995422405,5.840399995422388,1.1106180925216682,1.1104790925216683,1.1103400925216684
CZ,6.897300041198747,6.978200041198733,7.059100041198747,1.299729470413208,1.310118470413208,1.320507470413208
UY,6.266199999237074,6.211199999237067,6.156199999237074,1.1463909390487688,1.1500019390487681,1.1536129390487684
CO,6.062499974822998,5.969999974822997,5.877499974822996,1.011648464988708,1.0178944649887072,1.024140464988708
TH,5.897799957275367,5.768199957275328,5.638599957275346,1.0778837543106086,1.0871737543106086,1.0964637543106086
SA,6.3519999725341805,6.343999972534178,6.335999972534179,1.4109077110366819,1.4013727110366823,1.3918377110366826
ES,6.351099975585938,6.350999975585938,6.350899975585937,1.304882572868347,1.3069075728683477,1.3089325728683474
MT,6.830099990081777,6.928799990081785,7.027499990081765,1.3299139677124039,1.3446519677124016,1.3593899677124028
KW,5.937400003814702,5.867000003814695,5.796600003814689,1.4801884903411846,1.45503049034118,1.4298724903411824
SV,6.227699956512446,6.262199956512454,6.296699956512448,0.8269708991661076,0.8260928991661074,0.8252148991661075
GT,6.548999999237054,6.617399999237051,6.685799999237048,0.8232343891944875,0.8287743891944874,0.8343143891944873
