genre,total_count,movie_count,tv_count
International Movies,2581,2581,0
Dramas,2346,2346,0
Comedies,1609,1609,0
Action & Adventure,829,829,0
Documentaries,775,775,0
Independent Movies,743,743,0
Romantic Movies,592,592,0
Children & Family Movies,586,586,0
Thrillers,558,558,0
Horror Movies,344,344,0
Music & Musicals,340,340,0
Stand-Up Comedy,314,314,0
Sci-Fi & Fantasy,240,240,0
International TV Shows,206,0,206
Sports Movies,201,201,0
Classic Movies,115,115,0
TV Dramas,103,0,103
LGBTQ Movies,96,96,0
Docuseries,91,0,91
Crime TV Shows,90,0,90
TV Comedies,84,0,84
Cult Movies,70,70,0
Faith & Spirituality,65,65,0
Anime Features,64,64,0
Kids' TV,62,0,62
British TV Shows,55,0,55
Romantic TV Shows,47,0,47
Movies,29,29,0
TV Action & Adventure,27,0,27
Reality TV,26,0,26
Spanish-Language TV Shows,24,0,24
Korean TV Shows,20,0,20
Stand-Up Comedy & Talk Shows,17,0,17
Anime Series,17,0,17
Science & Nature TV,17,0,17
TV Mysteries,16,0,16
TV Sci-Fi & Fantasy,12,0,12
TV Shows,11,0,11
TV Horror,10,0,10
TV Thrillers,7,0,7
Classic & Cult TV,6,0,6
Teen TV Shows,5,0,5
