ID,Column_Name,Description,Sutun_Adi,Sutun_Aciklamasi
1,fixed acidity,"This column is most acids involved with wine or fixed or nonvolatile.
(Advice: Do not evaporate readily)",sabit asitlik,"Bu sutun, sarapla veya sabit veya ucucu olmayan cogu asittir.
(Tavsiye: Bu deger Sarap Kalitesinde Onemli oldugundan bu Sutunu silmeyin)"
2,volatile acidity,The amount of acetic acid in wine which at this column is too high of levels can lead to an unpleasant. This means is wine contains the high vinegar taste.,ucucu asitlik,Bu sutunda cok yuksek seviyelerde bulunan saraptaki asetik asit miktari hos olmayanlara yol acabilir. Bu sarap yuksek sirke tadi icerir anlamina gelir.
3,citric acid,"When found in small quantities, citric acid can add 'freshness' and 'flavor' to wines.",sitrik asit,"Az miktarda bulundugunda, sitrik asit saraplara 'tazelik' ve 'lezzet' katabilir."
4,residual sugar,The amount of sugar remaining after fermentation stops. It's rare to find wines with less than 1 gram/liter. Wines with greater than 45 grams/liter are considered sweet.,kalan seker,Fermantasyon durduktan sonra kalan seker miktari. 1 gram / litreden az saraplar bulmak nadirdir. 45 gram / litreden buyuk saraplar tatli olarak kabul edilir.
5,chlorides,This column gives the amount of salt in the wine.,klorurler,"Bu sutun, saraptaki tuz miktarini verir."
6,free sulfur dioxide,The free form of SO2 exists in equilibrium between molecular SO2 (as a dissolved gas) and bisulfite ion; it prevents microbial growth and the oxidation of wine.,serbest kukurt dioksit,"SO2'nin serbest formu, molekuler SO2 (cözunmus gaz olarak) ile bisulfit iyonu arasindaki dengede bulunur; mikrobiyal buyumeyi ve sarabin oksidasyonunu önler."
7,total sulfur dioxide ,"Amount of free and bound forms of S02. This amount in low concentrations, SO2 is mostly undetectable in wine, but at free SO2 concentrations over 50 ppm, SO2 becomes evident in flavour of smell and taste of wine.",toplam kukurt dioksit,"S02'nin serbest ve bagli formlarinin miktari. Dusuk konsantrasyonlarda, SO2, sarapta cogunlukla saptanamaz, ancak 50 ppm'nin uzerindeki serbest SO2 konsantrasyonlarinda, SO2, sarap kokusu ve tadi lezzetinde belirginlesir."
8,density,This column gives the density. The density of water is close to that of water depending on the percent of sugar and alcohol content.,yogunluk,"Bu sutun yogunlugu verir. Suyun yogunlugu, seker ve alkol iceriginin yuzdesine bagli olarak suya yakindir."
9,pH,This column gives the amount of acid or wine basic. Describes how acidic or basic a wine is on a scale from 0 (very acidic) to 14 (very basic). Most of wines are between 3-4 on the pH scale.,pH,Bu sutun asit veya sarap bazik miktarini verir. Bir sarabin 0 (cok asidik) ila 14 (cok bazik) arasinda bir ölcekte asidik veya bazik oldugunu aciklar. saraplarin cogu pH ölceginde 3-4 arasindadir.
10,sulphates,"This column gives the amount of sulphates of contains in wine. A wine additive which can contribute to sulphur dioxide gas (S02) levels, which acts as an antimicrobial and antioxidant.",sulfatlar,"Bu sutun, saraptaki sulfat miktarini verir. Antimikrobiyal ve antioksidan görevi gören kukurt dioksit gazi (S02) seviyelerine katkida bulunabilen bir sarap katki maddesi."
11,alcohol,This column gives the amount the percent content of alcohol in the wine.,alkol,"Bu sutun, saraptaki alkol yuzdesini verir."
12,quality,"This column gives the quality of the wine. Output variable; based on sensory data, scores between 0 and 10. This means, 0 is poor quality and 10 is high quality.",kalite,"Bu sutun sarabin kalitesini verir. cikti degiskeni; duyusal verilere dayanarak, 0 ile 10 arasinda puan alir. Bu, 0'in kalitesiz ve 10'un yuksek kalitede oldugu anlamina gelir."
